,en,t,r,chi,fit_a,fit_c,fit_hw,fit_gw,fit_lw,fit_pv,fit_skew
87,25000,500,6000.0,35,0.5653155598453258,-1.0963321533323583e-05,8.026863562713094e-06,9.8944343851281e-06,1.1277054059096716e-05,0.8163615599612304,15.553074141300828
88,31000,600,500.0,-30,0.6605148415497879,0.0001164216196672,0.0002178439028229,1.0037863516706167e-05,1.8298063789079972e-05,0.9659922103876712,1.0696407742574692
89,25000,600,-1000.0,30,0.662584269856561,6.476332008058003e-05,0.000113245082607,1.211466830341861e-05,2.0699688717372262e-05,0.956664416644826,228.5209408228424
90,29000,400,1000.0,40,0.7867818383524351,-5.69467638273773e-05,9.778986233890496e-05,1.0580936313860292e-05,1.9084124875063176e-05,0.9623453711751132,71.7680422718327
91,30000,500,-300.0,40,0.4884163851946001,0.0001081938006592,0.0002019265383957,1.0607352765405014e-05,1.743037610270518e-05,0.9639954817764482,3.233324350995134
92,31000,600,-700.0,-30,0.7324444656235384,-8.542682627800308e-05,0.0001569678942935,1.005797534854222e-05,2.102222624837548e-05,0.9699582201918088,-72.23755213341278
93,25000,600,400.0,-40,0.5526883151384614,0.0001042822948508,0.0001897828963072,1.2262490157718916e-05,2.0716617200126717e-05,0.9598730161266016,-54.80456588300608
94,31000,400,-400.0,30,0.633861631224724,0.0001026769897956,0.0001915161875696,1.0040070711050078e-05,1.8353967503019285e-05,0.9660930599250288,96.3789942134296
95,25000,600,-5000.0,-35,0.5468497959326004,-1.3090951926441124e-05,1.3106431957875216e-05,1.0397822404715184e-05,1.321227617809542e-05,0.8675963590698808,-15.431891513793
96,31000,500,-2000.0,30,0.8094494303730738,2.663510486932317e-05,4.033209665760256e-05,9.532501726527606e-06,1.6442125626998705e-05,0.95158456659568,35.63791161281237
97,31000,600,-3000.0,-30,0.7651425708805739,-1.9747548432724547e-05,2.703110797967725e-05,9.2542744659369e-06,1.5156999258649474e-05,0.9402076389120622,-35.06042556551371
98,25000,400,-4000.0,35,0.6403461774945648,1.20632085520153e-05,1.1298867325603908e-05,1.0318139321329637e-05,1.2879451403370998e-05,0.863743498544721,16.105046872154215
99,29000,500,-500.0,-35,0.6617374852617564,-0.0001100652957791,0.0002049938110529,1.0900149563602337e-05,1.2767535063646732e-05,0.937973600767488,-3.2215898060544594
100,29000,600,-3000.0,-40,0.7104259950971825,-2.4713767257709774e-05,3.633580467839362e-05,9.992055641345755e-06,1.62736803830969e-05,0.9424334741039126,-515.6423194593503
101,30000,500,1000.0,-30,0.7910470113761137,5.021804497333781e-05,8.530402209973927e-05,1.0185262631731727e-05,1.8221593474012e-05,0.961163568739262,-71.80390603979009
102,35000,600,2000.0,-40,0.829585332912268,3.8401067004374014e-05,6.378840891357541e-05,8.691257415475215e-06,1.563694494250018e-05,0.9607707436075072,-72.89898673685792
103,30000,600,5000.0,-35,0.7027088367792467,1.392047740348877e-05,1.4835797463913272e-05,9.017541388389357e-06,1.2225597101567692e-05,0.9012873515561156,-16.551500570648685
104,30000,500,-6000.0,-30,0.6879535062063113,-8.048099946567917e-06,5.905212278686359e-06,8.169143281021851e-06,9.008390988580753e-06,0.8106679979209923,-16.436289141280657
105,30000,500,-2000.0,40,0.7834113635673382,3.474384981327529e-05,5.627295954688962e-05,9.981119859926453e-06,1.7284917655055116e-05,0.9549963745262876,270.52512581938987
106,25000,600,-1500.0,35,0.6408421756397294,4.969049194428186e-05,8.367233738532356e-05,1.1930331264090358e-05,1.954462285250008e-05,0.95061060381195,379.4071620833568
107,30000,500,5000.0,30,0.7215774510526024,-1.107505366412009e-05,9.825192346170665e-06,8.664344215975856e-06,1.0678341226615037e-05,0.8695416390930766,16.693405257158748
108,31000,400,300.0,-40,0.4966991315561787,0.0001058296580121,0.0001962682910224,1.0145009959157744e-05,2.1204634459349877e-05,0.9728928369557864,7.833921230336506
109,31000,500,1000.0,-40,0.7729208000174108,6.351839212064433e-05,0.0001120066552243,9.955617081692064e-06,1.8113015422996655e-05,0.9639883293442716,-71.3107478411669
110,35000,600,-5000.0,35,0.8027301417650574,1.4553070153305404e-05,1.8403557374594463e-05,8.04031446261023e-06,1.1957883004914791e-05,0.9276179637217192,17.220357780409334
111,25000,500,-400.0,-30,0.6289323441805786,-0.0001267726184835,0.0002358622927891,1.279749120630735e-05,2.331492036522284e-05,0.9683443096974744,-3.175872850315745
112,29000,400,-5000.0,30,0.706668342920205,8.312920879048414e-06,6.119840503826399e-06,8.462889381209993e-06,9.38303392157197e-06,0.813732514503126,16.57955217227684
113,30000,400,-2000.0,-30,0.8083859838997559,-1.970101755746839e-05,2.652391696550179e-05,9.568759699908688e-06,1.5843853327529217e-05,0.9412185590148024,-17.24662774981117
114,25000,400,-3000.0,35,0.6704160830437295,1.6259711509394775e-05,1.862108486425236e-05,1.0873147718090648e-05,1.5852654599240044e-05,0.9098151642696428,16.31361323722484
115,29000,600,-700.0,30,0.7239827373281827,9.219102664875892e-05,0.0001696629342046,1.0748748391447536e-05,2.288758009717327e-05,0.9706999849541904,87.8642624661707
116,30000,400,-500.0,30,0.7050389366468185,8.591848974155127e-05,0.0001574999075558,1.0420769809383871e-05,2.216092019753233e-05,0.9707249607825428,54.74324235009641
117,31000,500,-5000.0,30,0.7416317073622715,1.0485660379842553e-05,1.0050101622787044e-05,8.441917021479176e-06,1.0506358132984535e-05,0.8752521009639465,16.825380527456453
118,30000,500,-5000.0,-35,0.7178042338022733,-1.1014689679931e-05,1.0790620151343637e-05,8.747569655651019e-06,1.0994048630148016e-05,0.8773180903238846,-16.65095102858127
119,30000,600,6000.0,-30,0.6801797205690344,1.0254529917019654e-05,8.562367550430238e-06,8.51448645456064e-06,1.0116991696192548e-05,0.8522094271599929,-16.382860548914326
120,29000,400,1000.0,-40,0.7835009331594462,5.080260606171997e-05,8.564316406886776e-05,1.0525973567723625e-05,1.875152372975261e-05,0.9606778618481142,-175.58092984783607
121,25000,400,500.0,-30,0.7011446319070509,7.977990528266377e-05,0.0001410509824478,1.2337678217202824e-05,2.404297466155723e-05,0.9656040557521748,-125.66047818348252
122,30000,400,-1000.0,-35,0.8029724370381663,-4.501557734265481e-05,7.619188688670853e-05,1.0162253705720529e-05,1.825312279563452e-05,0.960818422404107,-72.15958828783869
123,35000,500,1500.0,40,0.835730086184997,-4.6895203450127273e-05,8.051881450886643e-05,8.782939117295935e-06,1.6022701429776638e-05,0.9634858171650084,73.02928891749374
124,35000,600,-400.0,40,0.5071753554899328,0.0001109941584289,0.0002094989702418,9.056119895435029e-06,1.3501720191050691e-05,0.9584762173936306,3.007623255599011
125,30000,500,2000.0,30,0.7926404678049952,-2.7239810455989952e-05,4.002581930834579e-05,9.81409589056897e-06,1.6750910100626708e-05,0.9499562446869874,35.408859549669856
126,31000,400,400.0,-40,0.5861315956541444,0.0001174244370385,0.0002195738308871,1.0035297503995004e-05,1.6946334913495473e-05,0.9623076376360202,1.0339821888602618
127,31000,600,6000.0,-40,0.7056966654676619,1.2981606655885894e-05,1.3386359035323551e-05,8.667403334441993e-06,1.1454634237734262e-05,0.8953462530261008,-16.570467114675175
128,30000,500,-5000.0,40,0.7276210117393322,1.3660901874569156e-05,1.566430011742596e-05,9.08338050023172e-06,1.2603695633887623e-05,0.9074283547633404,16.717468568532933
129,35000,600,-2000.0,35,0.83928250763522,3.677265881423567e-05,6.168810955653885e-05,8.686336089717839e-06,1.5671315313817475e-05,0.9607417649272378,73.17289662584261
