"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
4.84076e+4	4.45029e+14
4.85409e+4	4.41993e+14
4.86742e+4	4.38974e+14
4.88076e+4	4.35974e+14
4.89409e+4	4.32992e+14
4.90742e+4	4.30028e+14
4.92075e+4	4.27082e+14
4.93409e+4	4.24154e+14
4.94742e+4	4.21244e+14
4.96075e+4	4.18351e+14
4.97408e+4	4.15476e+14
4.98742e+4	4.12619e+14
5.00075e+4	4.09779e+14
5.01408e+4	4.06956e+14
5.02742e+4	4.04151e+14
5.04075e+4	4.01363e+14
5.05408e+4	3.98593e+14
5.06741e+4	3.95839e+14
5.08075e+4	3.93103e+14
5.09408e+4	3.90383e+14
5.10741e+4	3.87680e+14
5.12074e+4	3.84995e+14
5.13408e+4	3.82325e+14
5.14741e+4	3.79673e+14
5.16074e+4	3.77037e+14
5.17407e+4	3.74417e+14
5.18741e+4	3.71814e+14
5.20074e+4	3.69228e+14
5.21407e+4	3.66657e+14
5.22741e+4	3.64103e+14
5.24074e+4	3.61565e+14
5.25407e+4	3.59042e+14
5.26740e+4	3.56536e+14
5.28074e+4	3.54045e+14
5.29407e+4	3.51571e+14
5.30740e+4	3.49112e+14
5.32073e+4	3.46668e+14
5.33407e+4	3.44240e+14
5.34740e+4	3.41828e+14
5.36073e+4	3.39431e+14
5.37406e+4	3.37049e+14
5.38740e+4	3.34683e+14
5.40073e+4	3.32332e+14
5.41406e+4	3.29995e+14
5.42740e+4	3.27674e+14
5.44073e+4	3.25368e+14
5.45406e+4	3.23076e+14
5.46739e+4	3.20799e+14
5.48073e+4	3.18537e+14
5.49406e+4	3.16290e+14
5.50739e+4	3.14057e+14
5.52072e+4	3.11838e+14
5.53406e+4	3.09634e+14
5.54739e+4	3.07444e+14
5.56072e+4	3.05269e+14
5.57405e+4	3.03107e+14
5.58739e+4	3.00960e+14
5.60072e+4	2.98827e+14
5.61405e+4	2.96707e+14
5.62739e+4	2.94602e+14
5.64072e+4	2.92510e+14
5.65405e+4	2.90432e+14
5.66738e+4	2.88367e+14
5.68072e+4	2.86316e+14
5.69405e+4	2.84279e+14
5.70738e+4	2.82254e+14
5.72071e+4	2.80244e+14
5.73405e+4	2.78246e+14
5.74738e+4	2.76262e+14
5.76071e+4	2.74291e+14
5.77404e+4	2.72332e+14
5.78738e+4	2.70387e+14
5.80071e+4	2.68455e+14
5.81404e+4	2.66535e+14
5.82738e+4	2.64628e+14
5.84071e+4	2.62734e+14
5.85404e+4	2.60853e+14
5.86737e+4	2.58984e+14
5.88071e+4	2.57127e+14
5.89404e+4	2.55283e+14
5.90737e+4	2.53451e+14
5.92070e+4	2.51631e+14
5.93404e+4	2.49824e+14
5.94737e+4	2.48028e+14
5.96070e+4	2.46245e+14
5.97403e+4	2.44474e+14
5.98737e+4	2.42714e+14
6.00070e+4	2.40967e+14
6.01403e+4	2.39231e+14
6.02737e+4	2.37506e+14
6.04070e+4	2.35794e+14
6.05403e+4	2.34093e+14
6.06736e+4	2.32403e+14
6.08070e+4	2.30725e+14
6.09403e+4	2.29058e+14
6.10736e+4	2.27403e+14
6.12069e+4	2.25759e+14
6.13403e+4	2.24125e+14
6.14736e+4	2.22503e+14
6.16069e+4	2.20892e+14
6.17402e+4	2.19292e+14
6.18736e+4	2.17703e+14
6.20069e+4	2.16125e+14
6.21402e+4	2.14557e+14
6.22736e+4	2.13000e+14
6.24069e+4	2.11454e+14
6.25402e+4	2.09918e+14
6.26735e+4	2.08393e+14
6.28069e+4	2.06878e+14
6.29402e+4	2.05373e+14
6.30735e+4	2.03879e+14
6.32068e+4	2.02395e+14
6.33402e+4	2.00921e+14
6.34735e+4	1.99458e+14
6.36068e+4	1.98004e+14
6.37401e+4	1.96561e+14
6.38735e+4	1.95127e+14
6.40068e+4	1.93703e+14
6.41401e+4	1.92289e+14
6.42735e+4	1.90885e+14
6.44068e+4	1.89491e+14
6.45401e+4	1.88106e+14
6.46734e+4	1.86731e+14
6.48068e+4	1.85365e+14
6.49401e+4	1.84009e+14
6.50734e+4	1.82662e+14
6.52067e+4	1.81324e+14
6.53401e+4	1.79996e+14
6.54734e+4	1.78677e+14
6.56067e+4	1.77367e+14
6.57400e+4	1.76066e+14
6.58734e+4	1.74774e+14
6.60067e+4	1.73492e+14
6.61400e+4	1.72218e+14
6.62734e+4	1.70953e+14
6.64067e+4	1.69697e+14
